BDM编码,岗位编码,ExternalId
20968,BJ131011001,BJ131011001BJ131011001
2157,BJ131011001,BJ131011001BJ131011001
2230,BJ131011001,BJ131011001BJ131011001
1987,BJ131011001,BJ131011001BJ131011001
1765,BJ131011002,BJ131011002BJ131011002
2056,BJ131011002,BJ131011002BJ131011002
2222,BJ131011002,BJ131011002BJ131011002
1967,BJ131011003,BJ131011003BJ131011003
2189,BJ131011003,BJ131011003BJ131011003
2248,BJ131011003,BJ131011003BJ131011003
1969,BJ131011003,BJ131011003BJ131011003
2046,BJ131011003,BJ131011003BJ131011003
2176,BJ131011004,BJ131011004BJ131011004
2216,BJ131011004,BJ131011004BJ131011004
2217,BJ131011004,BJ131011004BJ131011004
1985,BJ131011005,BJ131011005BJ131011005
1989,BJ131011005,BJ131011005BJ131011005
2214,BJ131011005,BJ131011005BJ131011005
2215,BJ131011005,BJ131011005BJ131011005
1798,BJ131011006,BJ131011006BJ131011006
21010,BJ131011006,BJ131011006BJ131011006
20987,BJ131011006,BJ131011006BJ131011006
20973,BJ131011006,BJ131011006BJ131011006
20970,BJ131011007,BJ131011007BJ131011007
2195,BJ131011007,BJ131011007BJ131011007
2249,BJ131011007,BJ131011007BJ131011007
12891,NM131011008,NM131011008NM131011008
12896,NM131011008,NM131011008NM131011008
13128,NM131011008,NM131011008NM131011008
13129,NM131011008,NM131011008NM131011008
13130,NM131011008,NM131011008NM131011008
13016,NM131011008,NM131011008NM131011008
23400,NM131011008,NM131011008NM131011008
21111,BJ131011008,BJ131011008BJ131011008
1975,BJ131011008,BJ131011008BJ131011008
2212,BJ131011008,BJ131011008BJ131011008
2028,BJ131011009,BJ131011009BJ131011009
2259,BJ131011009,BJ131011009BJ131011009
1832,BJ131011009,BJ131011009BJ131011009
2194,BJ131011010,BJ131011010BJ131011010
2177,BJ131011010,BJ131011010BJ131011010
1803,BJ131011010,BJ131011010BJ131011010
2145,BJ131011010,BJ131011010BJ131011010
1841,BJ131011010,BJ131011010BJ131011010
20974,BJ131011011,BJ131011011BJ131011011
2069,BJ131011011,BJ131011011BJ131011011
2071,BJ131011011,BJ131011011BJ131011011
2072,BJ131011011,BJ131011011BJ131011011
2137,BJ131011011,BJ131011011BJ131011011
1948,BJ131011012,BJ131011012BJ131011012
2043,BJ131011012,BJ131011012BJ131011012
2042,BJ131011012,BJ131011012BJ131011012
2202,BJ131011012,BJ131011012BJ131011012
1771,BJ131011013,BJ131011013BJ131011013
2211,BJ131011013,BJ131011013BJ131011013
2175,BJ131011013,BJ131011013BJ131011013
21102,BJ131011014,BJ131011014BJ131011014
1943,BJ131011014,BJ131011014BJ131011014
2009,BJ131011014,BJ131011014BJ131011014
20985,BJ131011014,BJ131011014BJ131011014
2199,BJ131011015,BJ131011015BJ131011015
2252,BJ131011015,BJ131011015BJ131011015
2011,BJ131011015,BJ131011015BJ131011015
24332,BJ131011015,BJ131011015BJ131011015
1761,BJ131011016,BJ131011016BJ131011016
2084,BJ131011016,BJ131011016BJ131011016
1907,BJ131011016,BJ131011016BJ131011016
1764,BJ131011017,BJ131011017BJ131011017
1939,BJ131011017,BJ131011017BJ131011017
2048,BJ131011017,BJ131011017BJ131011017
1940,BJ131011017,BJ131011017BJ131011017
2030,BJ131011018,BJ131011018BJ131011018
1762,BJ131011018,BJ131011018BJ131011018
1974,BJ131011018,BJ131011018BJ131011018
1858,BJ131011018,BJ131011018BJ131011018
20988,BJ131011019,BJ131011019BJ131011019
21011,BJ131011019,BJ131011019BJ131011019
2247,BJ131011019,BJ131011019BJ131011019
2076,BJ131011019,BJ131011019BJ131011019
2014,BJ131011020,BJ131011020BJ131011020
2015,BJ131011020,BJ131011020BJ131011020
2219,BJ131011020,BJ131011020BJ131011020
2017,BJ131011020,BJ131011020BJ131011020
20971,BJ131011020,BJ131011020BJ131011020
1767,BJ131011021,BJ131011021BJ131011021
1927,BJ131011021,BJ131011021BJ131011021
2045,BJ131011021,BJ131011021BJ131011021
20990,BJ131011017,BJ131011017BJ131011017
2087,BJ131011022,BJ131011022BJ131011022
20989,BJ131011022,BJ131011022BJ131011022
20991,BJ131011022,BJ131011022BJ131011022
2226,BJ131011022,BJ131011022BJ131011022
1763,BJ131011023,BJ131011023BJ131011023
20969,BJ131011023,BJ131011023BJ131011023
21103,BJ131011023,BJ131011023BJ131011023
21117,BJ131011023,BJ131011023BJ131011023
1878,BJ131011023,BJ131011023BJ131011023
29807,BJ131011021,BJ131011021BJ131011021
2090,BJ131011024,BJ131011024BJ131011024
2205,BJ131011024,BJ131011024BJ131011024
2220,BJ131011024,BJ131011024BJ131011024
2254,BJ131011024,BJ131011024BJ131011024
2024,BJ131011025,BJ131011025BJ131011025
1996,BJ131011025,BJ131011025BJ131011025
2218,BJ131011025,BJ131011025BJ131011025
2234,BJ131011025,BJ131011025BJ131011025
1774,BJ131011026,BJ131011026BJ131011026
2018,BJ131011026,BJ131011026BJ131011026
2221,BJ131011026,BJ131011026BJ131011026
2250,BJ131011026,BJ131011026BJ131011026
2201,BJ131011027,BJ131011027BJ131011027
2181,BJ131011027,BJ131011027BJ131011027
2035,BJ131011027,BJ131011027BJ131011027
20975,BJ131011027,BJ131011027BJ131011027
1956,BJ131011028,BJ131011028BJ131011028
2061,BJ131011028,BJ131011028BJ131011028
2062,BJ131011028,BJ131011028BJ131011028
2007,BJ131011028,BJ131011028BJ131011028
2089,BJ131011028,BJ131011028BJ131011028
1990,BJ131011029,BJ131011029BJ131011029
2143,BJ131011029,BJ131011029BJ131011029
2178,BJ131011029,BJ131011029BJ131011029
1966,BJ131011029,BJ131011029BJ131011029
2231,BJ131011029,BJ131011029BJ131011029
2096,BJ131011030,BJ131011030BJ131011030
2255,BJ131011030,BJ131011030BJ131011030
20986,BJ131011030,BJ131011030BJ131011030
1822,BJ131011030,BJ131011030BJ131011030
2091,BJ131011031,BJ131011031BJ131011031
1820,BJ131011031,BJ131011031BJ131011031
1995,BJ131011031,BJ131011031BJ131011031
21009,BJ131011031,BJ131011031BJ131011031
5475,EB131011001,EB131011001EB131011001
21122,EB131011001,EB131011001EB131011001
5891,EB131011001,EB131011001EB131011001
5900,EB131011001,EB131011001EB131011001
5901,EB131011001,EB131011001EB131011001
5877,EB131011001,EB131011001EB131011001
5446,EB131011002,EB131011002EB131011002
5473,EB131011002,EB131011002EB131011002
5172,EB131011002,EB131011002EB131011002
20992,EB131011002,EB131011002EB131011002
5419,EB131011002,EB131011002EB131011002
5173,EB131011002,EB131011002EB131011002
5456,EB131011003,EB131011003EB131011003
5463,EB131011003,EB131011003EB131011003
5476,EB131011003,EB131011003EB131011003
20994,EB131011003,EB131011003EB131011003
5501,EB131011004,EB131011004EB131011004
5477,EB131011004,EB131011004EB131011004
6207,EB131011004,EB131011004EB131011004
5888,EB131011004,EB131011004EB131011004
5435,EB131011004,EB131011004EB131011004
5496,EB131011004,EB131011004EB131011004
6115,EB131011005,EB131011005EB131011005
5383,EB131011005,EB131011005EB131011005
5399,EB131011005,EB131011005EB131011005
5422,EB131011005,EB131011005EB131011005
5398,EB131011005,EB131011005EB131011005
5400,EB131011005,EB131011005EB131011005
5283,EB131011005,EB131011005EB131011005
15420,SX131011001,SX131011001SX131011001
15432,SX131011001,SX131011001SX131011001
15585,SX131011001,SX131011001SX131011001
15729,SX131011001,SX131011001SX131011001
15739,SX131011001,SX131011001SX131011001
15143,SX131011001,SX131011001SX131011001
15393,SX131011001,SX131011001SX131011001
15434,SX131011002,SX131011002SX131011002
15389,SX131011002,SX131011002SX131011002
15690,SX131011002,SX131011002SX131011002
20996,SX131011002,SX131011002SX131011002
15364,SX131011002,SX131011002SX131011002
15419,SX131011002,SX131011002SX131011002
14919,SX131011003,SX131011003SX131011003
14917,SX131011003,SX131011003SX131011003
20997,SX131011003,SX131011003SX131011003
15514,SX131011003,SX131011003SX131011003
15302,SX131011003,SX131011003SX131011003
15326,SX131011003,SX131011003SX131011003
15403,SX131011003,SX131011003SX131011003
14906,SX131011003,SX131011003SX131011003
5168,EB131011002,EB131011002EB131011002
5167,EB131011003,EB131011003EB131011003
5166,EB131011003,EB131011003EB131011003
15369,SX131011002,SX131011002SX131011002
14864,SX131011001,SX131011001SX131011001
15189,SX131011002,SX131011002SX131011002
5262,EB131011003,EB131011003EB131011003
18276,TJ131011001,TJ131011001TJ131011001
18325,TJ131011006,TJ131011006TJ131011006
18338,TJ131011001,TJ131011001TJ131011001
18356,TJ131011001,TJ131011001TJ131011001
18256,TJ131011001,TJ131011001TJ131011001
18395,TJ131011001,TJ131011001TJ131011001
18343,TJ131011002,TJ131011002TJ131011002
18351,TJ131011002,TJ131011002TJ131011002
18361,TJ131011003,TJ131011003TJ131011003
18319,TJ131011002,TJ131011002TJ131011002
18344,TJ131011002,TJ131011002TJ131011002
18349,TJ131011002,TJ131011002TJ131011002
18328,TJ131011003,TJ131011003TJ131011003
18260,TJ131011003,TJ131011003TJ131011003
20977,TJ131011007,TJ131011007TJ131011007
18274,TJ131011003,TJ131011003TJ131011003
18261,TJ131011004,TJ131011004TJ131011004
5602,TJ131011004,TJ131011004TJ131011004
6218,TJ131011004,TJ131011004TJ131011004
20978,TJ131011006,TJ131011006TJ131011006
18251,TJ131011004,TJ131011004TJ131011004
21108,TJ131011004,TJ131011004TJ131011004
5199,TJ131011005,TJ131011005TJ131011005
5203,TJ131011005,TJ131011005TJ131011005
18264,TJ131011005,TJ131011005TJ131011005
18362,TJ131011003,TJ131011003TJ131011003
20981,TJ131011005,TJ131011005TJ131011005
18390,TJ131011005,TJ131011005TJ131011005
18311,TJ131011006,TJ131011006TJ131011006
18365,TJ131011001,TJ131011001TJ131011001
18304,TJ131011004,TJ131011004TJ131011004
18381,TJ131011006,TJ131011006TJ131011006
20976,TJ131011005,TJ131011005TJ131011005
18272,TJ131011006,TJ131011006TJ131011006
18162,TJ131011007,TJ131011007TJ131011007
18262,TJ131011007,TJ131011007TJ131011007
18329,TJ131011007,TJ131011007TJ131011007
18259,TJ131011002,TJ131011002TJ131011002
18265,TJ131011007,TJ131011007TJ131011007
18183,TJ131011007,TJ131011007TJ131011007
5963,TJ131011008,TJ131011008TJ131011008
5739,TJ131011008,TJ131011008TJ131011008
5743,TJ131011008,TJ131011008TJ131011008
5984,TJ131011008,TJ131011008TJ131011008
