岗位名称,岗位编码,上级岗位,角色,状态,产品线,一级区域,二级区域,城市
NT131031001,NT131031001,无,主管,有效,全部,北中国,华北,北京
ST131031001,ST131031001,无,主管,有效,全部,南中国,华南,北京
NW131031001,NW131031001,无,主管,有效,全部,南中国,西南,北京
E1131031001,E1131031001,无,主管,有效,全部,东中国,华东,北京
北区地区经理01,BJ131021001,NT131031001,主管,有效,全部,北中国,华北,北京
北区地区经理02,BJ131021002,NT131031001,主管,有效,全部,北中国,华北,北京
北区地区经理03,BJ131021003,NT131031001,主管,有效,全部,北中国,华北,北京
北区地区经理04,BJ131021004,NT131031001,主管,有效,全部,北中国,华北,北京
北区地区经理05,EB131021001,NT131031001,主管,有效,全部,北中国,华北,北京
北区地区经理06,TJ131021001,NT131031001,主管,有效,全部,北中国,华北,北京
南区地区经理01,GD131021001,ST131031001,主管,有效,全部,南中国,华南,北京
南区地区经理02,GD131021002,ST131031001,主管,有效,全部,南中国,华南,北京
南区地区经理03,GD131021003,ST131031001,主管,有效,全部,南中国,华南,包头
南区地区经理05,FJ131021001,ST131031001,主管,有效,全部,南中国,华南,北京
南区地区经理06,FJ131021002,ST131031001,主管,有效,全部,南中国,华南,北京
南区地区经理07,UB131021001,ST131031001,主管,有效,全部,南中国,华南,北京
南区地区经理08,UN131021001,ST131031001,主管,有效,全部,南中国,华南,北京
南区地区经理09,GX131021001,ST131031001,主管,有效,全部,南中国,华南,北京
西区地区经理01,AX131021001,NW131031001,主管,有效,全部,南中国,西北,北京
东一地区经理03,SH131021003,E1131031001,主管,有效,全部,东中国,华东,北京
北区代表016,BJ131011015,BJ131021002,销售代表,有效,全部,北中国,华北,北京
北区代表017,BJ131011016,BJ131021003,销售代表,有效,全部,北中国,华北,北京
北区代表018,BJ131011017,BJ131021003,销售代表,有效,全部,北中国,华北,北京
北区代表019,BJ131011018,BJ131021003,销售代表,有效,全部,北中国,华北,北京
北区代表020,BJ131011019,BJ131021003,销售代表,有效,全部,北中国,华北,北京
北区代表021,BJ131011020,BJ131021003,销售代表,有效,全部,北中国,华北,北京
北区代表022,BJ131011021,BJ131021003,销售代表,有效,全部,北中国,华北,北京
北区代表023,BJ131011022,BJ131021003,销售代表,有效,全部,北中国,华北,北京
北区代表024,BJ131011023,BJ131021003,销售代表,有效,全部,北中国,华北,北京
北区代表025,BJ131011024,BJ131021004,销售代表,有效,全部,北中国,华北,北京
北区代表026,BJ131011025,BJ131021004,销售代表,有效,全部,北中国,华北,北京
北区代表027,BJ131011026,BJ131021004,销售代表,有效,全部,北中国,华北,北京
北区代表028,BJ131011027,BJ131021004,销售代表,有效,全部,北中国,华北,北京
北区代表029,BJ131011028,BJ131021004,销售代表,有效,全部,北中国,华北,北京
北区代表030,BJ131011029,BJ131021004,销售代表,有效,全部,北中国,华北,北京
北区代表031,BJ131011030,BJ131021004,销售代表,有效,全部,北中国,华北,北京
北区代表032,BJ131011031,BJ131021004,销售代表,有效,全部,北中国,华北,北京
北区代表033,EB131011001,EB131021001,销售代表,有效,全部,北中国,华北,石家庄
北区代表034,EB131011002,EB131021001,销售代表,有效,全部,北中国,华北,石家庄
北区代表035,EB131011003,EB131021001,销售代表,有效,全部,北中国,华北,石家庄
北区代表036,EB131011004,EB131021001,销售代表,有效,全部,北中国,华北,衡水
