岗位名称,岗位编码,上级岗位,角色,状态,产品线,一级区域,二级区域,城市,级别
BJ131011001,BJ131011001,BJ131021001,销售代表,有效,奥诺美,,,,11
BJ131011002,BJ131011002,BJ131021001,销售代表,有效,奥诺美,,,,11
BJ131011003,BJ131011003,BJ131021001,销售代表,有效,奥诺美,,,,11
BJ131011004,BJ131011004,BJ131021001,销售代表,有效,奥诺美,,,,11
BJ131011005,BJ131011005,BJ131021001,销售代表,有效,奥诺美,,,,11
BJ131011006,BJ131011006,BJ131021001,销售代表,有效,奥诺美,,,,11
BJ131011007,BJ131011007,BJ131021001,销售代表,有效,奥诺美,,,,11
NM131011008,NM131011008,BJ131021001,销售代表,有效,奥诺美,,,,11
BJ131011008,BJ131011008,BJ131021004,销售代表,有效,奥诺美,,,,11
BJ131011009,BJ131011009,BJ131021004,销售代表,有效,奥诺美,,,,11
BJ131011010,BJ131011010,BJ131021004,销售代表,有效,奥诺美,,,,11
BJ131011011,BJ131011011,BJ131021004,销售代表,有效,奥诺美,,,,11
BJ131011012,BJ131011012,BJ131021004,销售代表,有效,奥诺美,,,,11
BJ131011013,BJ131011013,BJ131021004,销售代表,有效,奥诺美,,,,11
BJ131011014,BJ131011014,BJ131021004,销售代表,有效,奥诺美,,,,11
BJ131011015,BJ131011015,BJ131021004,销售代表,有效,奥诺美,,,,11
BJ131011016,BJ131011016,BJ131021003,销售代表,有效,奥诺美,,,,11
BJ131011017,BJ131011017,BJ131021003,销售代表,有效,奥诺美,,,,11
BJ131011018,BJ131011018,BJ131021003,销售代表,有效,奥诺美,,,,11
BJ131011019,BJ131011019,BJ131021003,销售代表,有效,奥诺美,,,,11
BJ131011020,BJ131011020,BJ131021003,销售代表,有效,奥诺美,,,,11
BJ131011021,BJ131011021,BJ131021003,销售代表,有效,奥诺美,,,,11
BJ131011022,BJ131011022,BJ131021003,销售代表,有效,奥诺美,,,,11
BJ131011023,BJ131011023,BJ131021003,销售代表,有效,奥诺美,,,,11
BJ131011024,BJ131011024,BJ131021002,销售代表,有效,奥诺美,,,,11
BJ131011025,BJ131011025,BJ131021002,销售代表,有效,奥诺美,,,,11
BJ131011026,BJ131011026,BJ131021002,销售代表,有效,奥诺美,,,,11
BJ131011027,BJ131011027,BJ131021002,销售代表,有效,奥诺美,,,,11
BJ131011028,BJ131011028,BJ131021002,销售代表,有效,奥诺美,,,,11
BJ131011029,BJ131011029,BJ131021002,销售代表,有效,奥诺美,,,,11
BJ131011030,BJ131011030,BJ131021002,销售代表,有效,奥诺美,,,,11
BJ131011031,BJ131011031,BJ131021002,销售代表,有效,奥诺美,,,,11
EB131011001,EB131011001,EB131021001,销售代表,有效,奥诺美,,,,11
EB131011002,EB131011002,EB131021001,销售代表,有效,奥诺美,,,,11
EB131011003,EB131011003,EB131021001,销售代表,有效,奥诺美,,,,11
EB131011004,EB131011004,EB131021001,销售代表,有效,奥诺美,,,,11
EB131011005,EB131011005,EB131021001,销售代表,有效,奥诺美,,,,11
SX131011001,SX131011001,EB131021001,销售代表,有效,奥诺美,,,,11
SX131011002,SX131011002,EB131021001,销售代表,有效,奥诺美,,,,11
SX131011003,SX131011003,EB131021001,销售代表,有效,奥诺美,,,,11
TJ131011001,TJ131011001,TJ131021001,销售代表,有效,奥诺美,,,,11
TJ131011002,TJ131011002,TJ131021001,销售代表,有效,奥诺美,,,,11
TJ131011003,TJ131011003,TJ131021001,销售代表,有效,奥诺美,,,,11
TJ131011004,TJ131011004,TJ131021001,销售代表,有效,奥诺美,,,,11
TJ131011005,TJ131011005,TJ131021001,销售代表,有效,奥诺美,,,,11
TJ131011006,TJ131011006,TJ131021001,销售代表,有效,奥诺美,,,,11
TJ131011007,TJ131011007,TJ131021001,销售代表,有效,奥诺美,,,,11
TJ131011008,TJ131011008,TJ131021001,销售代表,有效,奥诺美,,,,11
LN131011001,LN131011001,LN131021001,销售代表,有效,奥诺美,,,,11
LN131011002,LN131011002,LN131021001,销售代表,有效,奥诺美,,,,11
LN131011003,LN131011003,LN131021001,销售代表,有效,奥诺美,,,,11
LN131011004,LN131011004,LN131021001,销售代表,有效,奥诺美,,,,11
LN131011005,LN131011005,LN131021001,销售代表,有效,奥诺美,,,,11
LN131011006,LN131011006,LN131021001,销售代表,有效,奥诺美,,,,11
LN131011007,LN131011007,LN131021001,销售代表,有效,奥诺美,,,,11
LN131011008,LN131011008,LN131021002,销售代表,有效,奥诺美,,,,11
LN131011009,LN131011009,LN131021002,销售代表,有效,奥诺美,,,,11
LN131011010,LN131011010,LN131021002,销售代表,有效,奥诺美,,,,11
LN131011011,LN131011011,LN131021002,销售代表,有效,奥诺美,,,,11
LN131011012,LN131011012,LN131021002,销售代表,有效,奥诺美,,,,11
HL131011001,HL131011001,JL131021001,销售代表,有效,奥诺美,,,,11
HL131011002,HL131011002,JL131021001,销售代表,有效,奥诺美,,,,11
HL131011003,HL131011003,JL131021001,销售代表,有效,奥诺美,,,,11
HL131011004,HL131011004,JL131021001,销售代表,有效,奥诺美,,,,11
HL131011005,HL131011005,HL131021001,销售代表,有效,奥诺美,,,,11
HL131011006,HL131011006,HL131021001,销售代表,有效,奥诺美,,,,11
JL131011001,JL131011001,HL131021001,销售代表,有效,奥诺美,,,,11
JL131011002,JL131011002,HL131021001,销售代表,有效,奥诺美,,,,11
JL131011003,JL131011003,HL131021001,销售代表,有效,奥诺美,,,,11
JL131011004,JL131011004,HL131021001,销售代表,有效,奥诺美,,,,11
JS131011001,JS131011001,SD131021002,销售代表,有效,奥诺美,,,,11
JS131011002,JS131011002,SD131021002,销售代表,有效,奥诺美,,,,11
JS131011003,JS131011003,SD131021002,销售代表,有效,奥诺美,,,,11
JS131011004,JS131011004,SD131021002,销售代表,有效,奥诺美,,,,11
JS131011007,JS131011007,SD131021002,销售代表,有效,奥诺美,,,,11
JS131011008,JS131011008,SD131021002,销售代表,有效,奥诺美,,,,11
JS131011009,JS131011009,JS131021004,销售代表,有效,奥诺美,,,,11
JS131011010,JS131011010,JS131021004,销售代表,有效,奥诺美,,,,11
JS131011011,JS131011011,JS131021004,销售代表,有效,奥诺美,,,,11
JS131011012,JS131011012,JS131021004,销售代表,有效,奥诺美,,,,11
JS131011013,JS131011013,JS131021004,销售代表,有效,奥诺美,,,,11
JS131011014,JS131011014,JS131021004,销售代表,有效,奥诺美,,,,11
JS131011026,JS131011026,JS131021004,销售代表,有效,奥诺美,,,,11
JS131011017,JS131011017,SD131021001,销售代表,有效,奥诺美,,,,11
