BDM编码,岗位编码,ExternalId
20968,BJ131011001,20968BJ131011001
2157,BJ131011001,2157BJ131011001
2230,BJ131011001,2230BJ131011001
1987,BJ131011001,1987BJ131011001
1765,BJ131011002,1765BJ131011002
2056,BJ131011002,2056BJ131011002
2222,BJ131011002,2222BJ131011002
1967,BJ131011003,1967BJ131011003
2189,BJ131011003,2189BJ131011003
2248,BJ131011003,2248BJ131011003
1969,BJ131011003,1969BJ131011003
2046,BJ131011003,2046BJ131011003
2176,BJ131011004,2176BJ131011004
2216,BJ131011004,2216BJ131011004
2217,BJ131011004,2217BJ131011004
1985,BJ131011005,1985BJ131011005
1989,BJ131011005,1989BJ131011005
2214,BJ131011005,2214BJ131011005
2215,BJ131011005,2215BJ131011005
1798,BJ131011006,1798BJ131011006
21010,BJ131011006,21010BJ131011006
20987,BJ131011006,20987BJ131011006
20973,BJ131011006,20973BJ131011006
20970,BJ131011007,20970BJ131011007
2195,BJ131011007,2195BJ131011007
2249,BJ131011007,2249BJ131011007
12891,NM131011008,12891NM131011008
12896,NM131011008,12896NM131011008
13128,NM131011008,13128NM131011008
13129,NM131011008,13129NM131011008
13130,NM131011008,13130NM131011008
13016,NM131011008,13016NM131011008
23400,NM131011008,23400NM131011008
21111,BJ131011008,21111BJ131011008
1975,BJ131011008,1975BJ131011008
2212,BJ131011008,2212BJ131011008
2028,BJ131011009,2028BJ131011009
2259,BJ131011009,2259BJ131011009
1832,BJ131011009,1832BJ131011009
2194,BJ131011010,2194BJ131011010
2177,BJ131011010,2177BJ131011010
1803,BJ131011010,1803BJ131011010
1841,BJ131011010,1841BJ131011010
20974,BJ131011011,20974BJ131011011
2069,BJ131011011,2069BJ131011011
2071,BJ131011011,2071BJ131011011
2072,BJ131011011,2072BJ131011011
2137,BJ131011011,2137BJ131011011
1948,BJ131011012,1948BJ131011012
2043,BJ131011012,2043BJ131011012
2042,BJ131011012,2042BJ131011012
2202,BJ131011012,2202BJ131011012
1771,BJ131011013,1771BJ131011013
2211,BJ131011013,2211BJ131011013
2175,BJ131011013,2175BJ131011013
21102,BJ131011014,21102BJ131011014
1943,BJ131011014,1943BJ131011014
2009,BJ131011014,2009BJ131011014
20985,BJ131011014,20985BJ131011014
2199,BJ131011015,2199BJ131011015
2252,BJ131011015,2252BJ131011015
2011,BJ131011015,2011BJ131011015
24332,BJ131011015,24332BJ131011015
1761,BJ131011016,1761BJ131011016
2084,BJ131011016,2084BJ131011016
1907,BJ131011016,1907BJ131011016
1764,BJ131011017,1764BJ131011017
1939,BJ131011017,1939BJ131011017
2048,BJ131011017,2048BJ131011017
1940,BJ131011017,1940BJ131011017
2030,BJ131011018,2030BJ131011018
1762,BJ131011018,1762BJ131011018
1974,BJ131011018,1974BJ131011018
1858,BJ131011018,1858BJ131011018
20988,BJ131011019,20988BJ131011019
21011,BJ131011019,21011BJ131011019
2247,BJ131011019,2247BJ131011019
2076,BJ131011019,2076BJ131011019
2014,BJ131011020,2014BJ131011020
2015,BJ131011020,2015BJ131011020
2219,BJ131011020,2219BJ131011020
2017,BJ131011020,2017BJ131011020
20971,BJ131011020,20971BJ131011020
1767,BJ131011021,1767BJ131011021
1927,BJ131011021,1927BJ131011021
2045,BJ131011021,2045BJ131011021
20990,BJ131011017,20990BJ131011017
2087,BJ131011022,2087BJ131011022
20989,BJ131011022,20989BJ131011022
20991,BJ131011022,20991BJ131011022
2226,BJ131011022,2226BJ131011022
1763,BJ131011023,1763BJ131011023
20969,BJ131011023,20969BJ131011023
21103,BJ131011023,21103BJ131011023
21117,BJ131011023,21117BJ131011023
1878,BJ131011023,1878BJ131011023
29807,BJ131011021,29807BJ131011021
2090,BJ131011024,2090BJ131011024
2205,BJ131011024,2205BJ131011024
2220,BJ131011024,2220BJ131011024
2254,BJ131011024,2254BJ131011024
2024,BJ131011025,2024BJ131011025
1996,BJ131011025,1996BJ131011025
2218,BJ131011025,2218BJ131011025
2234,BJ131011025,2234BJ131011025
1774,BJ131011026,1774BJ131011026
2018,BJ131011026,2018BJ131011026
2221,BJ131011026,2221BJ131011026
2250,BJ131011026,2250BJ131011026
2201,BJ131011027,2201BJ131011027
2181,BJ131011027,2181BJ131011027
2035,BJ131011027,2035BJ131011027
20975,BJ131011027,20975BJ131011027
1956,BJ131011028,1956BJ131011028
2061,BJ131011028,2061BJ131011028
2062,BJ131011028,2062BJ131011028
2007,BJ131011028,2007BJ131011028
2089,BJ131011028,2089BJ131011028
1990,BJ131011029,1990BJ131011029
2143,BJ131011029,2143BJ131011029
2178,BJ131011029,2178BJ131011029
1966,BJ131011029,1966BJ131011029
2231,BJ131011029,2231BJ131011029
2096,BJ131011030,2096BJ131011030
2255,BJ131011030,2255BJ131011030
20986,BJ131011030,20986BJ131011030
1822,BJ131011030,1822BJ131011030
2091,BJ131011031,2091BJ131011031
1820,BJ131011031,1820BJ131011031
1995,BJ131011031,1995BJ131011031
21009,BJ131011031,21009BJ131011031
5475,EB131011001,5475EB131011001
21122,EB131011001,21122EB131011001
5891,EB131011001,5891EB131011001
5900,EB131011001,5900EB131011001
5901,EB131011001,5901EB131011001
5877,EB131011001,5877EB131011001
5446,EB131011002,5446EB131011002
5473,EB131011002,5473EB131011002
5172,EB131011002,5172EB131011002
20992,EB131011002,20992EB131011002
5419,EB131011002,5419EB131011002
5173,EB131011002,5173EB131011002
